t	y
2,843750E-1	-3,507416E-3
2,854167E-1	-3,471394E-3
2,864583E-1	-3,507679E-3
2,875000E-1	-3,546085E-3
2,885417E-1	-3,594433E-3
2,895833E-1	-3,603151E-3
2,906250E-1	-3,630214E-3
2,916667E-1	-3,541499E-3
2,927083E-1	-3,552265E-3
2,937500E-1	-3,552281E-3
2,947917E-1	-3,613238E-3
2,958333E-1	-3,654823E-3
2,968750E-1	-3,613376E-3
2,979167E-1	-3,661685E-3
2,989583E-1	-3,718152E-3
3,000000E-1	-3,726402E-3
3,010417E-1	-3,752944E-3
3,020833E-1	-3,692681E-3
3,031250E-1	-3,812415E-3
3,041667E-1	-3,896077E-3
3,052083E-1	-3,849769E-3
3,062500E-1	-3,908088E-3
3,072917E-1	-4,040138E-3
3,083333E-1	-3,898841E-3
3,093750E-1	-3,863070E-3
3,104167E-1	-3,946217E-3
3,114583E-1	-3,948782E-3
3,125000E-1	-4,171074E-3
3,135417E-1	-5,850168E-3
3,145833E-1	-6,256616E-3
3,156250E-1	-6,609524E-3
3,166667E-1	-6,653929E-3
3,177083E-1	-6,815175E-3
3,187500E-1	-6,956182E-3
3,197917E-1	-8,963117E-3
3,208333E-1	-9,401002E-3
3,218750E-1	-9,622144E-3
3,229167E-1	-9,765419E-3
3,239583E-1	-9,945346E-3
3,250000E-1	-9,973763E-3
3,260417E-1	-9,993006E-3
3,270833E-1	-1,024754E-2
3,281250E-1	-1,229771E-2
3,291667E-1	-1,270083E-2
3,302083E-1	-1,275039E-2
3,312500E-1	-1,288453E-2
3,322917E-1	-1,303306E-2
3,333333E-1	-1,324173E-2
3,343750E-1	-1,323471E-2
3,354167E-1	-1,339159E-2
3,364583E-1	-1,533865E-2
3,375000E-1	-1,556834E-2
3,385417E-1	-1,571658E-2
3,395833E-1	-1,590949E-2
3,406250E-1	-1,612702E-2
3,416667E-1	-1,627867E-2
3,427083E-1	-1,634298E-2
3,437500E-1	-1,817411E-2
3,447917E-1	-1,880509E-2
3,458333E-1	-1,902954E-2
3,468750E-1	-1,914091E-2
3,479167E-1	-1,931823E-2
3,489583E-1	-1,945270E-2
3,500000E-1	-2,069040E-2
3,510417E-1	-2,126374E-2
3,520833E-1	-2,210566E-2
3,531250E-1	-2,244821E-2
3,541667E-1	-2,259408E-2
3,552083E-1	-2,271694E-2
3,562500E-1	-2,390367E-2
3,572917E-1	-2,466902E-2
3,583333E-1	-2,511325E-2
3,593750E-1	-2,526316E-2
3,604167E-1	-2,565484E-2
3,614583E-1	-2,654774E-2
3,625000E-1	-2,755065E-2
3,635417E-1	-2,810975E-2
3,645833E-1	-2,852793E-2
3,656250E-1	-2,910410E-2
3,666667E-1	-3,073377E-2
3,677083E-1	-3,126511E-2
3,687500E-1	-3,158174E-2
3,697917E-1	-3,228525E-2
3,708333E-1	-3,358591E-2
3,718750E-1	-3,417691E-2
3,729167E-1	-3,510544E-2
3,739583E-1	-3,586218E-2
3,750000E-1	-3,678845E-2
3,760417E-1	-3,731981E-2
3,770833E-1	-3,840957E-2
3,781250E-1	-3,928069E-2
3,791667E-1	-3,972394E-2
3,802083E-1	-4,063229E-2
3,812500E-1	-4,142229E-2
3,822917E-1	-4,273411E-2
3,833333E-1	-4,328780E-2
3,843750E-1	-4,405717E-2
3,854167E-1	-4,514766E-2
3,864583E-1	-4,626153E-2
3,875000E-1	-4,681733E-2
3,885417E-1	-4,759671E-2
3,895833E-1	-4,905512E-2
3,906250E-1	-5,039659E-2
3,916667E-1	-5,132676E-2
3,927083E-1	-5,159096E-2
3,937500E-1	-5,299528E-2
3,947917E-1	-5,392972E-2
3,958333E-1	-5,494456E-2
3,968750E-1	-5,594049E-2
3,979167E-1	-5,700335E-2
3,989583E-1	-5,843391E-2
4,000000E-1	-5,950992E-2
4,010417E-1	-6,072520E-2
4,020833E-1	-6,213928E-2
4,031250E-1	-6,332575E-2
4,041667E-1	-6,471714E-2
4,052083E-1	-6,591612E-2
4,062500E-1	-6,713866E-2
4,072917E-1	-6,836978E-2
4,083333E-1	-6,986266E-2
4,093750E-1	-7,080860E-2
4,104167E-1	-7,243775E-2
4,114583E-1	-7,341653E-2
4,125000E-1	-7,486352E-2
4,135417E-1	-7,588512E-2
4,145833E-1	-7,678089E-2
4,156250E-1	-7,885178E-2
4,166667E-1	-8,037964E-2
4,177083E-1	-8,143953E-2
4,187500E-1	-8,294373E-2
4,197917E-1	-8,431980E-2
4,208333E-1	-8,571644E-2
4,218750E-1	-8,695430E-2
4,229167E-1	-8,835064E-2
4,239583E-1	-8,983301E-2
4,250000E-1	-9,122200E-2
4,260417E-1	-9,239967E-2
4,270833E-1	-9,405189E-2
4,281250E-1	-9,537367E-2
4,291667E-1	-9,690822E-2
4,302083E-1	-9,838508E-2
4,312500E-1	-1,000487E-1
4,322917E-1	-1,015052E-1
4,333333E-1	-1,030576E-1
4,343750E-1	-1,047099E-1
4,354167E-1	-1,060382E-1
4,364583E-1	-1,074039E-1
4,375000E-1	-1,089348E-1
4,385417E-1	-1,104254E-1
4,395833E-1	-1,118447E-1
4,406250E-1	-1,135838E-1
4,416667E-1	-1,150062E-1
4,427083E-1	-1,164785E-1
4,437500E-1	-1,180818E-1
4,447917E-1	-1,197512E-1
4,458333E-1	-1,212904E-1
4,468750E-1	-1,230045E-1
4,479167E-1	-1,244203E-1
4,489583E-1	-1,261463E-1
4,500000E-1	-1,276089E-1
4,510417E-1	-1,292935E-1
4,520833E-1	-1,310518E-1
4,531250E-1	-1,328991E-1
4,541667E-1	-1,347829E-1
4,552083E-1	-1,364416E-1
4,562500E-1	-1,383450E-1
4,572917E-1	-1,397926E-1
4,583333E-1	-1,416491E-1
4,593750E-1	-1,434748E-1
4,604167E-1	-1,455183E-1
4,614583E-1	-1,471789E-1
4,625000E-1	-1,490203E-1
4,635417E-1	-1,506044E-1
4,645833E-1	-1,523381E-1
4,656250E-1	-1,540913E-1
4,666667E-1	-1,561582E-1
4,677083E-1	-1,581038E-1
4,687500E-1	-1,599956E-1
4,697917E-1	-1,615091E-1
4,708333E-1	-1,632538E-1
4,718750E-1	-1,652882E-1
4,729167E-1	-1,674166E-1
4,739583E-1	-1,693612E-1
4,750000E-1	-1,710072E-1
4,760417E-1	-1,732612E-1
4,770833E-1	-1,754365E-1
4,781250E-1	-1,771071E-1
4,791667E-1	-1,791785E-1
4,802083E-1	-1,812698E-1
4,812500E-1	-1,831664E-1
4,822917E-1	-1,849853E-1
4,833333E-1	-1,871942E-1
4,843750E-1	-1,891144E-1
4,854167E-1	-1,912264E-1
4,864583E-1	-1,931637E-1
4,875000E-1	-1,951609E-1
4,885417E-1	-1,971969E-1
4,895833E-1	-1,993554E-1
4,906250E-1	-2,015121E-1
4,916667E-1	-2,035278E-1
4,927083E-1	-2,059024E-1
4,937500E-1	-2,078149E-1
4,947917E-1	-2,100259E-1
4,958333E-1	-2,120915E-1
4,968750E-1	-2,138992E-1
4,979167E-1	-2,162472E-1
4,989583E-1	-2,184627E-1
5,000000E-1	-2,206649E-1
5,010417E-1	-2,229577E-1
5,020833E-1	-2,250842E-1
5,031250E-1	-2,272584E-1
5,041667E-1	-2,294410E-1
5,052083E-1	-2,314619E-1
5,062500E-1	-2,337843E-1
5,072917E-1	-2,359041E-1
5,083333E-1	-2,384525E-1
5,093750E-1	-2,407882E-1
5,104167E-1	-2,430417E-1
5,114583E-1	-2,451237E-1
5,125000E-1	-2,477277E-1
5,135417E-1	-2,498620E-1
5,145833E-1	-2,522973E-1
5,156250E-1	-2,545108E-1
5,166667E-1	-2,570309E-1
5,177083E-1	-2,593121E-1
5,187500E-1	-2,616474E-1
5,197917E-1	-2,640809E-1
5,208333E-1	-2,664802E-1
5,218750E-1	-2,689599E-1
5,229167E-1	-2,712943E-1
5,239583E-1	-2,738534E-1
5,250000E-1	-2,760128E-1
5,260417E-1	-2,786928E-1
5,270833E-1	-2,811934E-1
5,281250E-1	-2,836412E-1
5,291667E-1	-2,862633E-1
5,302083E-1	-2,885590E-1
5,312500E-1	-2,910950E-1
5,322917E-1	-2,935314E-1
5,333333E-1	-2,961919E-1
5,343750E-1	-2,989406E-1
5,354167E-1	-3,012662E-1
5,364583E-1	-3,038584E-1
5,375000E-1	-3,064422E-1
5,385417E-1	-3,090348E-1
5,395833E-1	-3,116221E-1
5,406250E-1	-3,142904E-1
5,416667E-1	-3,168444E-1
5,427083E-1	-3,193717E-1
5,437500E-1	-3,221648E-1
5,447917E-1	-3,247431E-1
5,458333E-1	-3,274618E-1
5,468750E-1	-3,299132E-1
5,479167E-1	-3,326479E-1
5,489583E-1	-3,353390E-1
5,500000E-1	-3,380458E-1
5,510417E-1	-3,406708E-1
5,520833E-1	-3,434820E-1
5,531250E-1	-3,461559E-1
5,541667E-1	-3,490797E-1
5,552083E-1	-3,517070E-1
5,562500E-1	-3,545860E-1
5,572917E-1	-3,574239E-1
5,583333E-1	-3,600617E-1
5,593750E-1	-3,629673E-1
5,604167E-1	-3,657820E-1
5,614583E-1	-3,683350E-1
5,625000E-1	-3,710641E-1
5,635417E-1	-3,740689E-1
5,645833E-1	-3,768272E-1
5,656250E-1	-3,797900E-1
5,666667E-1	-3,826155E-1
5,677083E-1	-3,855324E-1
5,687500E-1	-3,886884E-1
5,697917E-1	-3,915520E-1
5,708333E-1	-3,943021E-1
5,718750E-1	-3,971375E-1
5,729167E-1	-3,999259E-1
5,739583E-1	-4,028734E-1
5,750000E-1	-4,059221E-1
5,760417E-1	-4,091074E-1
5,770833E-1	-4,121371E-1
5,781250E-1	-4,148575E-1
5,791667E-1	-4,181555E-1
5,802083E-1	-4,212215E-1
5,812500E-1	-4,241587E-1
5,822917E-1	-4,272049E-1
5,833333E-1	-4,304161E-1
5,843750E-1	-4,336282E-1
5,854167E-1	-4,366862E-1
5,864583E-1	-4,397121E-1
