t	y
3,843750E-1	-4,926081E-3
3,854167E-1	-4,891420E-3
3,864583E-1	-4,795979E-3
3,875000E-1	-4,833878E-3
3,885417E-1	-4,781030E-3
3,895833E-1	-4,777956E-3
3,906250E-1	-4,822915E-3
3,916667E-1	-4,863681E-3
3,927083E-1	-4,819594E-3
3,937500E-1	-4,839617E-3
3,947917E-1	-4,753309E-3
3,958333E-1	-4,769764E-3
3,968750E-1	-4,777853E-3
3,979167E-1	-4,767567E-3
3,989583E-1	-4,871792E-3
4,000000E-1	-4,941741E-3
4,010417E-1	-4,895707E-3
4,020833E-1	-4,866348E-3
4,031250E-1	-4,832912E-3
4,041667E-1	-4,745730E-3
4,052083E-1	-4,761219E-3
4,062500E-1	-4,772381E-3
4,072917E-1	-4,897276E-3
4,083333E-1	-4,841729E-3
4,093750E-1	-4,897532E-3
4,104167E-1	-4,859228E-3
4,114583E-1	-4,833307E-3
4,125000E-1	-4,891481E-3
4,135417E-1	-4,919283E-3
4,145833E-1	-4,864769E-3
4,156250E-1	-4,964027E-3
4,166667E-1	-5,258735E-3
4,177083E-1	-5,871585E-3
4,187500E-1	-6,146992E-3
4,197917E-1	-6,105177E-3
4,208333E-1	-6,209938E-3
4,218750E-1	-6,194599E-3
4,229167E-1	-6,355514E-3
4,239583E-1	-6,466384E-3
4,250000E-1	-6,585595E-3
4,260417E-1	-6,598355E-3
4,270833E-1	-6,467022E-3
4,281250E-1	-6,458350E-3
4,291667E-1	-6,600267E-3
4,302083E-1	-6,647445E-3
4,312500E-1	-7,072210E-3
4,322917E-1	-7,903646E-3
4,333333E-1	-7,926749E-3
4,343750E-1	-8,172126E-3
4,354167E-1	-8,195175E-3
4,364583E-1	-8,166286E-3
4,375000E-1	-8,283246E-3
4,385417E-1	-9,660392E-3
4,395833E-1	-9,591050E-3
4,406250E-1	-9,952164E-3
4,416667E-1	-1,091798E-2
4,427083E-1	-1,129754E-2
4,437500E-1	-1,135927E-2
4,447917E-1	-1,185411E-2
4,458333E-1	-1,466647E-2
4,468750E-1	-1,486651E-2
4,479167E-1	-1,503629E-2
4,489583E-1	-1,558943E-2
4,500000E-1	-1,627492E-2
4,510417E-1	-1,664290E-2
4,520833E-1	-1,685240E-2
4,531250E-1	-1,689805E-2
4,541667E-1	-1,719560E-2
4,552083E-1	-1,813529E-2
4,562500E-1	-1,838637E-2
4,572917E-1	-1,944851E-2
4,583333E-1	-1,990929E-2
4,593750E-1	-1,998001E-2
4,604167E-1	-2,006682E-2
4,614583E-1	-2,057422E-2
