"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.293430410E-1,5.243301988E-1,9.624691010E0,2.699462473E-1,9.642741838E0
3.343108010E-1,4.764461517E-1,9.648633003E0,2.603694201E-1,9.663897351E0
3.392785620E-1,4.333505034E-1,9.672574997E0,2.364274114E-1,9.685163791E0
3.442463220E-1,3.902548850E-1,9.701305389E0,2.268506140E-1,9.711801395E0
3.492140830E-1,3.232172430E-1,9.730035782E0,2.172738016E-1,9.737826945E0
3.541818430E-1,2.753331959E-1,9.753977776E0,1.885433793E-1,9.759684391E0
3.591496030E-1,2.082955539E-1,9.787496567E0,1.693897694E-1,9.791178120E0
3.641173640E-1,1.508347094E-1,9.806650162E0,1.550245583E-1,9.809035178E0
3.690851240E-1,8.379705995E-2,9.830592155E0,1.406593472E-1,9.831955509E0
3.740528850E-1,2.633621916E-2,9.840168953E0,1.215057373E-1,9.840954337E0
3.790206450E-1,-4.070143029E-2,9.859322548E0,1.119289324E-1,9.860041876E0
3.839884060E-1,-1.029506698E-1,9.873687744E0,8.319851011E-2,9.874574953E0
3.889561660E-1,-1.604115069E-1,9.883264542E0,6.404489279E-2,9.884773725E0
3.939239260E-1,-2.226607651E-1,9.902418137E0,4.010287672E-2,9.905002323E0
3.988916870E-1,-2.753331959E-1,9.902418137E0,4.489128292E-2,9.906346882E0
4.038594470E-1,-3.184288144E-1,9.921571732E0,2.573766746E-2,9.926713704E0
4.088272080E-1,-3.758896589E-1,9.926360130E0,6.584054790E-3,9.933476824E0
4.137949680E-1,-4.189853072E-1,9.926360130E0,-2.992752008E-3,9.935199197E0
4.187627280E-1,-4.716577232E-1,9.926360130E0,-1.735796221E-2,9.937574540E0
4.237304890E-1,-5.051765442E-1,9.931148529E0,-3.172317147E-2,9.944039461E0
4.286982490E-1,-5.339069963E-1,9.931148529E0,-3.651157767E-2,9.945556841E0
4.336660100E-1,-5.578489900E-1,9.931148529E0,-5.087678507E-2,9.946933952E0
4.386337700E-1,-5.913678408E-1,9.931148529E0,-5.087678507E-2,9.948870060E0
4.436015310E-1,-6.153098345E-1,9.916783333E0,-5.087678507E-2,9.935984416E0
4.485692910E-1,-6.153098345E-1,9.926360130E0,-5.566519126E-2,9.945568372E0
4.535370510E-1,-6.296750307E-1,9.921571732E0,-7.003039867E-2,9.941779545E0
4.585048120E-1,-6.296750307E-1,9.921571732E0,-6.045359373E-2,9.941716698E0
4.634725720E-1,-6.200982332E-1,9.926360130E0,-6.045359373E-2,9.945893720E0
4.684403330E-1,-6.153098345E-1,9.926360130E0,-6.524199992E-2,9.945626584E0
4.734080930E-1,-6.009446383E-1,9.902418137E0,-6.524199992E-2,9.920850565E0
4.783758530E-1,-5.817909837E-1,9.911994934E0,-5.566519126E-2,9.929210590E0
4.833436140E-1,-5.434837937E-1,9.911994934E0,-4.129998013E-2,9.926969522E0
4.883113740E-1,-5.243301988E-1,9.902418137E0,-3.651157767E-2,9.916357204E0
4.932791350E-1,-4.955997467E-1,9.902418137E0,-3.651157767E-2,9.914879584E0
4.982468950E-1,-4.620809257E-1,9.902418137E0,-2.214636654E-2,9.913218155E0
5.032146560E-1,-4.094084799E-1,9.883264542E0,-2.992752008E-3,9.891741114E0
5.081824160E-1,-3.615244627E-1,9.888052940E0,1.137245819E-2,9.894666251E0
5.131501760E-1,-3.136404157E-1,9.892841339E0,2.573766746E-2,9.897845346E0
5.181179370E-1,-2.705447972E-1,9.878476143E0,4.010287672E-2,9.882261565E0
5.230856970E-1,-2.035071403E-1,9.864110947E0,5.925649032E-2,9.866387954E0
5.280534580E-1,-1.460463107E-1,9.854534149E0,6.883329898E-2,9.855856677E0
5.330212180E-1,-9.337386489E-2,9.840168953E0,8.319851011E-2,9.840963657E0
5.379889780E-1,-3.112462163E-2,9.821015358E0,1.071405262E-1,9.821649072E0
5.429567390E-1,3.112462163E-2,9.816226959E0,1.310825497E-1,9.817151475E0
5.479244990E-1,9.337386489E-2,9.801861763E0,1.454477459E-1,9.803385525E0
5.528922600E-1,1.556231081E-1,9.768342972E0,1.693897694E-1,9.771050909E0
5.578600200E-1,2.178723514E-1,9.768342972E0,1.885433793E-1,9.772591334E0
5.628277810E-1,2.849099934E-1,9.739612579E0,2.172738016E-1,9.746201045E0
5.677955410E-1,3.280056417E-1,9.706093788E0,2.316390127E-1,9.714396582E0
5.727633010E-1,3.902548850E-1,9.691728592E0,2.460042238E-1,9.702701688E0
5.777310620E-1,4.285621047E-1,9.658209801E0,2.651578486E-1,9.671348961E0
5.826988220E-1,4.860229492E-1,9.639056206E0,2.795230448E-1,9.655348568E0
5.876665830E-1,5.243301988E-1,9.605537415E0,2.986766696E-1,9.624472917E0
5.926343430E-1,5.626373887E-1,9.591172218E0,3.130418658E-1,9.612759259E0
5.976021030E-1,5.913678408E-1,9.567230225E0,3.321954906E-1,9.591244129E0
6.025698640E-1,6.296750307E-1,9.557653427E0,3.513490856E-1,9.584814858E0
6.075376240E-1,6.536170840E-1,9.524134636E0,3.561375141E-1,9.553176947E0
6.125053850E-1,6.727706790E-1,9.514557838E0,3.752911091E-1,9.545694038E0
6.174731450E-1,6.919242740E-1,9.509769440E0,3.896563351E-1,9.542866763E0
6.224409060E-1,7.062895298E-1,9.514557838E0,3.896563351E-1,9.548690372E0
6.274086660E-1,7.015010715E-1,9.495404243E0,3.896563351E-1,9.529251679E0
6.323764260E-1,6.967126727E-1,9.504981041E0,3.848679364E-1,9.538249130E0
6.373441870E-1,7.015010715E-1,9.504981041E0,3.848679364E-1,9.538600090E0
6.423119470E-1,6.775590777E-1,9.524134636E0,3.896563351E-1,9.556152935E0
6.472797080E-1,6.679822803E-1,9.538499832E0,3.992331326E-1,9.570191559E0
6.522474680E-1,6.296750307E-1,9.548076630E0,3.848679364E-1,9.576553728E0
6.572152280E-1,6.105214357E-1,9.572018623E0,3.800795078E-1,9.598996686E0
