Carimbo de data/hora,Com qual gênero você se identifica?,Qual sua idade?,Em qual etapa acadêmica você se encontra atualmente? ,Com que frequência você pratica atividade física em uma semana comum?  ,"Em média, quanto tempo dura cada sessão de atividade física?",Tenho dificuldade em me concentrar nos estudos e/ou em atividades que necessitam de foco.,"Me sinto sempre cansado, com pouca energia e disposição.",Eu tenho uma boa qualidade de sono.,"Me sinto frequentemente para baixo, depressivo, sem esperança. Estou sempre preocupado, como se algo ruim fosse acontecer.",A falta de tempo por causa das demandas da faculdade é um empecilho para a minha prática de atividades físicas.,O cansaço físico e mental decorrente dos estudos é um empecilho para a minha prática de atividades físicas.,"O custo financeiro (mensalidade de academia, equipamentos, etc.) é um empecilho para a minha prática de atividades físicas.",Eu pratico ou gostaria de praticar atividades físicas para cuidar da saúde mental e aliviar o estresse.,Eu pratico ou gostaria de praticar atividades físicas para melhorar a minha saúde física.,Eu pratico ou gostaria de praticar atividades físicas para melhorar a minha aparência.,Eu pratico ou gostaria de praticar atividades físicas para ter um momento de lazer e/ou socialização.
18/10/2025 17:26:12,Masculino,18-20,Graduando,1 vez por semana,Menos de 30 minutos,Concordo,Concordo,Concordo,Discordo,Concordo totalmente,Neutro,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo
18/10/2025 17:27:09,Masculino,18-20,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Concordo totalmente,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Concordo,Discordo
18/10/2025 17:34:26,Feminino,18-20,Graduando,4 a 5 vezes por semana,60 a 89 minutos,Concordo,Neutro,Discordo,Neutro,Neutro,Neutro,Discordo,Concordo,Concordo,Concordo,Neutro
18/10/2025 17:36:46,Feminino,21-23,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Neutro,Discordo,Neutro,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo,Concordo
18/10/2025 17:36:48,Masculino,18-20,Graduando,1 vez por semana,60 a 89 minutos,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Discordo,Neutro,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Neutro
18/10/2025 17:36:48,Feminino,18-20,Graduando,1 vez por semana,60 a 89 minutos,Neutro,Concordo,Neutro,Discordo totalmente,Concordo totalmente,Concordo totalmente,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo
18/10/2025 17:46:42,Feminino,21-23,Graduando,1 vez por semana,30 a 59 minutos,Neutro,Concordo,Neutro,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Neutro
18/10/2025 17:56:55,Masculino,21-23,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Neutro,Concordo,Discordo totalmente,Discordo,Concordo,Concordo totalmente,Discordo,Concordo,Concordo,Neutro,Concordo
18/10/2025 18:07:38,Masculino,18-20,Graduando,Nunca ou quase nunca,Menos de 30 minutos,Concordo,Neutro,Discordo,Neutro,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Discordo totalmente,Concordo,Concordo
18/10/2025 19:07:49,Masculino,30 anos ou mais,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
18/10/2025 19:15:23,Masculino,18-20,Graduando,4 a 5 vezes por semana,60 a 89 minutos,Discordo,Discordo,Neutro,Discordo,Discordo,Discordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
18/10/2025 19:18:43,Feminino,18-20,Graduando,4 a 5 vezes por semana,30 a 59 minutos,Discordo,Discordo,Discordo totalmente,Discordo,Concordo,Concordo,Discordo,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo
18/10/2025 19:24:57,Masculino,18-20,Graduando,4 a 5 vezes por semana,60 a 89 minutos,Discordo,Discordo totalmente,Concordo,Discordo totalmente,Neutro,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
18/10/2025 19:35:43,Masculino,18-20,Graduando,1 vez por semana,60 a 89 minutos,Concordo,Neutro,Discordo totalmente,Concordo,Neutro,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo
18/10/2025 19:41:28,Feminino,21-23,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Concordo,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Neutro,Discordo,Concordo totalmente,Concordo,Concordo,Concordo
18/10/2025 19:45:51,Masculino,18-20,Graduando,Nunca ou quase nunca,Menos de 30 minutos,Concordo totalmente,Concordo totalmente,Discordo,Concordo totalmente,Concordo,Concordo,Discordo totalmente,Neutro,Neutro,Neutro,Discordo
18/10/2025 19:55:29,Feminino,18-20,Ensino médio ,Nunca ou quase nunca,Menos de 30 minutos,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo,Neutro,Neutro,Neutro,Discordo,Neutro,Discordo,Discordo
18/10/2025 20:08:30,Feminino,18-20,Graduando,Nunca ou quase nunca,30 a 59 minutos,Concordo,Concordo totalmente,Neutro,Concordo totalmente,Concordo,Concordo totalmente,Discordo,Concordo totalmente,Concordo totalmente,Neutro,Neutro
18/10/2025 20:26:58,Masculino,18-20,Graduando,1 vez por semana,30 a 59 minutos,Concordo,Discordo,Neutro,Neutro,Concordo,Concordo totalmente,Discordo,Concordo totalmente,Concordo,Concordo,Neutro
18/10/2025 20:46:33,Masculino,21-23,Graduando,Nunca ou quase nunca,Menos de 30 minutos,Discordo,Discordo,Concordo totalmente,Neutro,Concordo totalmente,Concordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo,Concordo totalmente
18/10/2025 21:16:46,Feminino,18-20,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Neutro,Concordo totalmente,Neutro,Concordo totalmente,Concordo,Concordo,Neutro,Concordo totalmente,Concordo,Concordo totalmente,Neutro
18/10/2025 21:43:47,Masculino,18-20,Graduando,2 a 3 vezes por semana,90 minutos ou mais,Discordo,Neutro,Discordo,Discordo totalmente,Concordo,Discordo,Discordo totalmente,Concordo totalmente,Concordo totalmente,Discordo,Concordo
18/10/2025 23:46:23,Feminino,24-26,Graduando,2 a 3 vezes por semana,60 a 89 minutos,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Neutro,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente
19/10/2025 08:47:04,Masculino,18-20,Graduando,Nunca ou quase nunca,30 a 59 minutos,Neutro,Concordo,Discordo,Concordo,Concordo,Discordo totalmente,Discordo totalmente,Concordo totalmente,Concordo,Concordo,Concordo
19/10/2025 10:04:46,Feminino,18-20,Vestibular,2 a 3 vezes por semana,30 a 59 minutos,Discordo,Neutro,Discordo,Neutro,Concordo,Concordo,Discordo totalmente,Neutro,Concordo,Concordo,Discordo totalmente
20/10/2025 09:50:44,Masculino,18-20,Graduando,2 a 3 vezes por semana,30 a 59 minutos,Concordo totalmente,Concordo,Neutro,Discordo,Concordo,Concordo,Concordo,Concordo,Concordo totalmente,Concordo totalmente,Concordo totalmente
