Freq(Hz),Phase
228.0,-7.184636246636648
228.0,-7.1849580111886
228.0,-7.185279789324034
238.745308,-7.513262192763239
246.188737,-7.740061703538961
249.997028,-7.855930477394542
261.779025,-8.213096947950396
265.828483,-8.335513707457174
274.116291,-8.58521044849003
287.034993,-8.972708759612935
287.034993,-8.973104100479462
287.034993,-8.973499457154992
300.562536,-9.376013909239212
309.933257,-9.653794233143117
314.727612,-9.795526785268336
329.560267,-10.231620977209523
334.658233,-10.380805248880918
345.091964,-10.684635770570813
361.355647,-11.154868215321873
361.355647,-11.155347152032377
361.355647,-11.15582610621171
378.385814,-11.64256418837174
390.182853,-11.977406129756234
396.218588,-12.147908370010905
414.891795,-12.67101305595302
421.309753,-12.849425169010098
434.445043,-13.21190573026043
454.919807,-13.77051533030136
454.919807,-13.77108275583769
454.919807,-13.77165019891682
476.359517,-14.346657143146963
491.211109,-14.740242826100491
498.80965,-14.940016283541455
522.317824,-15.550129716667556
530.397555,-15.75722419945107
546.933905,-16.176366804049376
572.710106,-16.81790836745042
572.710106,-16.818557243771405
572.710106,-16.81920613438515
599.701102,-17.47372428252531
618.398148,-17.918139032054622
627.964144,-18.1425496298196
657.559182,-18.822859443540583
667.73096,-19.051991918699464
688.548992,-19.5128421058884
720.999306,-20.210371433703028
720.999306,-20.21107194575269
720.999306,-20.211772462907607
754.978956,-20.912977491418182
778.517143,-21.38269626193662
790.560019,-21.61781613628447
827.817964,-22.32163725509501
840.623474,-22.55551056036152
866.831823,-23.020751583324014
907.684348,-23.71099590594372
907.684348,-23.711680195015408
907.684348,-23.712364470584028
950.462194,-24.387696324480952
980.095015,-24.82864073022872
995.256097,-25.04562914046449
1042.161072,-25.67897875917128
1058.282254,-25.88363766565388
1091.27661,-26.28129187380701
1142.706892,-26.84542707226565
1142.706892,-26.84596953203696
1142.706892,-26.846511945803787
1196.561009,-27.36349895229186
1233.86652,-27.67895691497112
1252.953192,-27.82681588971122
1312.003057,-28.225810856584232
1332.298422,-28.342782652487653
1373.835856,-28.549965244510197
1438.582745,-28.7877266738466
1438.582745,-28.787917062977883
1438.582745,-28.788107353131643
1506.381061,-28.926423488918847
1553.345917,-28.95705138759505
1577.374613,-28.95218136493693
1651.713988,-28.849851601882985
1677.26434,-28.784432955017497
1729.556871,-28.602966783344502
1811.068375,-28.19374814521713
1811.068375,-28.193251429950244
1811.068375,-28.192754533419173
1896.421398,-27.60320080967444
1955.546648,-27.099066021133947
1985.796985,-26.811348261039203
2079.384713,-25.79767545289617
2111.5507,-25.40675267187448
2177.383096,-24.5418682089166
2280.0,-23.024949099657643
2280.0,-23.023295801630237
2280.0,-23.02164222604169
2387.453089,-21.23090535022862
2461.88737,-19.875614313151583
2499.970287,-19.148864601772782
2617.790257,-16.77577705509872
2658.284834,-15.920606690181378
2741.16291,-14.119390174449888
2870.349938,-11.201062618512776
2870.349938,-11.19802416907137
2870.349938,-11.19498549331147
3005.625363,-8.057718236545092
3099.332571,-5.863150653599978
3147.276123,-4.742116625616664
3295.602677,-1.3207725795772105
3346.58233,-0.16918610855995
3450.919646,2.130624116316596
3613.556478,5.533672072393871
3613.556478,5.537025500614247
3613.556478,5.540378805457922
3783.858148,8.814309631998707
3901.828533,10.900907092129568
3962.185889,11.908932018136836
4148.917957,14.768409506037951
4213.097538,15.663566337973698
4344.450436,17.35957702076454
4549.198078,19.66449622443026
4549.198078,19.66665528451258
4549.198078,19.66881405256601
4763.595178,21.678226482307167
4912.111093,22.86088040671974
4988.096502,23.40591854019503
5223.178248,24.85987747387576
5303.975553,25.2867358639287
5469.339055,26.056988024733887
5727.101063,27.01666863756285
5727.101063,27.01751628333489
5727.101063,27.01836371214933
5997.011021,27.75936647441381
6183.98148,28.14398381433672
6279.641443,28.30552391935323
6575.591827,28.674917546118813
6677.309607,28.762078298004923
6885.489922,28.886271293717428
7209.993065,28.957060262211648
7209.993065,28.95706620238774
7209.993065,28.957072018280037
7549.789569,28.903440134271836
7785.171432,28.8059901921441
7905.60019,28.74025471973519
8278.179648,28.48108854982392
8406.234747,28.375491596726565
8668.318236,28.138342476902253
9076.843488,27.723318243567984
9076.843488,27.72287055889891
9076.843488,27.722422812326894
9504.621943,27.24630357551476
9800.950151,26.898600000828733
9952.560975,26.716653123876625
10421.610723,26.14286303844936
10582.82254,25.94304338635993
10912.766104,25.532638484832148
11427.068926,24.892954316630657
11427.068926,24.89230204456233
11427.068926,24.891649749391597
11965.610093,24.230109587824103
12338.665205,23.77828558262521
12529.531923,23.549776788470407
13120.030571,22.85704671271661
13322.984224,22.6240664224376
13738.358562,22.1564697932054
14385.827454,21.45209460922552
14385.827454,21.451389566196667
14385.827454,21.45068452299179
15063.810614,20.747504129887727
15533.459174,20.279347535059777
15773.746136,20.04585010913531
16517.139889,19.34988591910643
16772.643401,19.11946980580122
17295.56871,18.66199799891577
18110.683751,17.98423600982575
18110.683751,17.983563921594207
18110.683751,17.982891845255306
18964.213981,17.318341724741693
19555.466487,16.88184620564566
19857.96985,16.66577663792029
20793.847137,16.027748256659677
21115.507001,15.818373563604142
21773.830961,15.405235027046055
22800.0,14.799009847059937
22800.0,14.79841198505754
22800.0,14.79781413994667
23874.530895,14.209662129242934
24618.873701,13.82645161729294
24999.702872,13.637618388863064
26177.90257,13.083161349758376
26582.848346,12.90219092261352
27411.629109,12.546447576962509
28703.499388,12.027523661478684
28703.499388,12.027013632403827
28703.499388,12.02650362107693
30056.253639,11.526340997256174
30993.325712,11.202094184641638
31472.761232,11.042769202976633
32956.026773,10.57660825140528
33465.823301,10.424971811927922
34509.196464,10.127599376747698
36135.564788,9.695434835776425
36135.564788,9.69501098859874
36135.564788,9.6945871579197
37838.581489,9.279766601654682
39018.285334,9.01169838599647
39621.858895,8.88021407064952
41489.179576,8.496370861583884
42130.975381,8.371779047200672
43444.504369,8.127810786219834
45491.980781,7.774093066074603
45491.980781,7.773746627082412
45491.980781,7.773400202481793
47635.951783,7.434766867703995
49121.110932,7.216373025988084
49880.965026,7.109375224471584
52231.782483,6.797458408452552
53039.755531,6.696350881695292
54693.390553,6.498556811560477
57271.010638,6.212213390367517
57271.010638,6.211933180803521
57271.010638,6.2116529833442975
