Freq(Hz),Gain(dB),Phase
311240.415973,-0.227257,9.999834
320944.043886,-0.281721,10.025310
325908.724872,-0.238891,9.305203
333500.114285,-0.290003,8.914837
341268.329873,-0.259289,8.310199
346547.407085,-0.234206,7.975440
357351.810755,-0.198058,6.958304
374193.282740,-0.189239,6.716915
374193.282740,-0.190522,6.428353
374193.282740,-0.154711,5.840986
391828.468846,-0.117316,4.820989
404044.612612,-0.123900,5.674455
410294.775667,-0.096292,4.135828
419851.768710,-0.155278,5.096592
429631.372717,-0.122812,3.298481
436277.337171,-0.127539,3.798138
449879.275511,-0.107683,2.254502
471081.432564,-0.093171,-2.677180
471081.432564,-0.079370,1.998835
471081.432564,-0.070103,1.504106
493282.816494,-0.040919,-1.244295
508662.030316,-0.072734,-1.494856
516530.519414,-0.039955,-1.046338
528562.060815,-0.069262,-2.225022
540873.852818,-0.046217,-1.343159
549240.626354,-0.048712,-1.924799
566364.452180,0.026696,-2.045334
593056.386479,-0.041373,-2.477139
593056.386479,-0.067414,-2.417629
593056.386479,-0.033700,-2.763391
604512.000000,-0.057531,-3.177380
604512.000000,-0.080615,-3.333417
604512.000000,0.024959,-2.680267
