Freq(Hz),Gain(dB),Phase
24618.873701,-2.200958,32.576332
24999.702872,-2.03485,28.210934
26177.90257,-1.668753,29.597164
26582.848346,-1.746165,31.979271
27411.629109,-1.680737,29.999069
28703.499388,-1.793421,27.417553
28703.499388,-1.753621,22.995529
28703.499388,-2.58594,30.360779
30056.253639,-1.572132,25.856253
30993.325712,-1.37461,24.612694
31472.761232,-1.302736,24.629143
32956.026773,-1.343285,23.233807
33465.823301,-1.415052,23.720032
34509.196464,-1.278601,22.177692
36135.564788,-1.095634,23.477982
36135.564788,-1.025498,22.401756
36135.564788,-1.681042,26.637058
37838.581489,-1.053491,20.360085
39018.285334,-1.041961,19.34499
39621.858895,-0.995981,19.498379
41489.179576,-0.805306,19.93585
42130.975381,-0.915753,19.731039
43444.504369,-0.886996,21.422575
45491.980781,-1.106919,21.961109
45491.980781,-0.741203,18.47493
45491.980781,-0.741461,16.465137
47635.951783,-0.729911,17.739365
49121.110932,-0.710025,15.735534
49880.965026,-0.617225,15.980692
52231.782483,-0.496881,17.696939
53039.755531,-0.538981,16.981133
54693.390553,-0.523198,16.910282
57271.010638,-0.625137,15.491019
57271.010638,-0.838591,17.403534
57271.010638,-0.61064,14.197817
58368.0,-0.54436,13.186984
58368.0,-0.730573,14.904488
58368.0,-0.57012,13.790783
